"kendallTau","Zvalue","Pr(>|z|)","Trait"
0.618,8.00501018827339,5.97283908769261e-16,"Taste"
0.513333333333333,5.23150491340111,8.40677826475649e-08,"Firmness"
0.494713411240957,5.60697980341085,1.0294383765539e-08,"Mouldability"
0.468888888888889,5.31661234896573,5.28584791628856e-08,"Smoothness"
0.45,4.58605950200747,2.25844960757852e-06,"Odour"
0.426092759426093,5.51778640427091,1.7164816022218e-08,"Colour"
0.325970548862115,4.21793957581266,1.23272431137555e-05,"Stretchability"
